YEAR,MONTH_NUM,MONTH_MON,FLT_DATE,ENTITY_NAME,ENTITY_TYPE,CPLX_FLIGHT_HRS,CPLX_INTER,VERTICAL_INTER_HRS,HORIZ_INTER_HRS,SPEED_INTER_HRS,BADA_VERSION
2014,1,JAN,05-01-2014,SMATSA,ANSP (AUA),414.24,38.10,2.27,17.53,4.94,3.6
2014,1,JAN,05-01-2014,Sakaeronavigatsia,ANSP (AUA),125.17,7.10,0.34,2.11,1.05,3.6
2014,1,JAN,05-01-2014,Skyguide,ANSP (AUA),638.26,102.55,35.23,63.63,28.36,3.6
2014,1,JAN,05-01-2014,Slovenia Control,ANSP (AUA),92.44,11.22,1.09,6.66,1.69,3.6
2014,1,JAN,05-01-2014,UkSATSE,ANSP (AUA),1007.35,58.17,2.38,26.39,13.58,3.6
2014,1,JAN,06-01-2014,ANS CR,ANSP (AUA),477.28,65.47,9.00,33.05,11.67,3.6
2014,1,JAN,06-01-2014,ARMATS,ANSP (AUA),37.16,1.03,0.07,0.46,0.19,3.6
2014,1,JAN,06-01-2014,Albcontrol,ANSP (AUA),74.34,4.98,0.22,1.64,0.31,3.6
2014,1,JAN,06-01-2014,Austro Control,ANSP (AUA),496.64,54.99,11.42,27.38,11.38,3.6
2014,1,JAN,06-01-2014,Avinor (Continental),ANSP (AUA),655.42,23.22,6.58,11.19,6.26,3.6
2014,1,JAN,06-01-2014,BULATSA,ANSP (AUA),346.53,28.91,2.13,7.69,1.96,3.6
2014,1,JAN,06-01-2014,Belgocontrol,ANSP (AUA),147.75,16.69,6.22,9.09,7.49,3.6
2014,1,JAN,06-01-2014,Croatia Control,ANSP (AUA),352.60,29.09,1.50,14.54,1.59,3.6
2014,1,JAN,06-01-2014,DCAC Cyprus,ANSP (AUA),322.15,26.71,3.02,10.02,2.02,3.6
2014,1,JAN,06-01-2014,DFS,ANSP (AUA),2407.96,363.12,94.47,209.83,94.70,3.6
2014,1,JAN,06-01-2014,DHMI,ANSP (AUA),2146.24,291.59,44.33,93.98,54.11,3.6
2014,1,JAN,06-01-2014,DSNA,ANSP (AUA),4190.81,578.07,94.15,241.73,104.19,3.6
2014,1,JAN,06-01-2014,EANS,ANSP (AUA),150.30,8.88,1.19,2.50,2.29,3.6
2014,1,JAN,06-01-2014,ENAIRE,ANSP (AUA),2539.19,252.92,33.00,96.14,34.04,3.6
2014,1,JAN,06-01-2014,ENAV,ANSP (AUA),1862.93,129.73,33.96,71.92,22.03,3.6
2014,1,JAN,06-01-2014,Finavia,ANSP (AUA),176.99,4.42,0.89,1.24,1.47,3.6
2014,1,JAN,06-01-2014,HCAA,ANSP (AUA),764.92,34.78,2.18,11.70,2.50,3.6
