FLT_DATE,YEAR,MONTH_NUM,MONTH_MON,ENTITY_NAME,ENTITY_TYPE,CPLX_FLIGHT_HRS,CPLX_INTER,VERTICAL_INTER_HRS,HORIZ_INTER_HRS,SPEED_INTER_HRS,BADA_VERSION
2017-01-04,2017.0,1.0,JAN,MATS,ANSP (AUA),162.62,4.43,0.3,1.26,0.42,3.13.1
2017-01-04,2017.0,1.0,JAN,MOLDATSA,ANSP (AUA),15.1,0.11,0.05,0.06300000000000001,0.02,3.13.1
2017-01-04,2017.0,1.0,JAN,MUAC,ANSP (AUA),1531.15,260.37,60.06,128.511,25.44,3.13.1
2017-01-04,2017.0,1.0,JAN,NATS (Continental),ANSP (AUA),2699.34,477.28,186.82,201.348,71.95,3.13.1
2017-01-04,2017.0,1.0,JAN,NAV Portugal (Continental),ANSP (AUA),918.15,90.21,8.79,27.720000000000002,1.79,3.13.1
2017-01-04,2017.0,1.0,JAN,NAVIAIR,ANSP (AUA),393.51,19.81,2.94,9.999,2.23,3.13.1
2017-01-04,2017.0,1.0,JAN,Oro Navigacija,ANSP (AUA),106.11,4.79,0.33,1.953,0.51,3.13.1
2017-01-04,2017.0,1.0,JAN,PANSA,ANSP (AUA),917.96,57.46,8.72,29.709,8.12,3.13.1
2017-01-04,2017.0,1.0,JAN,ROMATSA,ANSP (AUA),777.8,80.26,5.01,29.7,7.33,3.13.1
2017-01-04,2017.0,1.0,JAN,SMATSA,ANSP (AUA),445.45,40.04,2.64,19.764000000000003,1.68,3.13.1
2017-01-04,2017.0,1.0,JAN,Sakaeronavigatsia,ANSP (AUA),111.72,12.04,0.7,4.032000000000001,0.44,3.13.1
2017-01-04,2017.0,1.0,JAN,Skyguide,ANSP (AUA),573.4,83.62,23.97,47.07,13.69,3.13.1
2017-01-04,2017.0,1.0,JAN,Slovenia Control,ANSP (AUA),89.97,9.03,1.04,5.382000000000001,0.62,3.13.1
2017-01-04,2017.0,1.0,JAN,UkSATSE,ANSP (AUA),280.09,6.69,0.9,2.457,0.51,3.13.1
2017-01-04,2017.0,1.0,JAN,skeyes,ANSP (AUA),166.91,19.34,7.41,9.918,5.68,3.13.1
2017-01-05,2017.0,1.0,JAN,ANS CR,ANSP (AUA),554.1,96.63,11.97,44.172,9.38,3.13.1
2017-01-05,2017.0,1.0,JAN,ANS Finland,ANSP (AUA),198.07,5.7,1.09,1.935,0.81,3.13.1
2017-01-05,2017.0,1.0,JAN,ARMATS,ANSP (AUA),27.76,0.61,0.07,0.135,0.05,3.13.1
2017-01-05,2017.0,1.0,JAN,Albcontrol,ANSP (AUA),67.63,4.17,0.09,1.62,0.04,3.13.1
2017-01-05,2017.0,1.0,JAN,Austro Control,ANSP (AUA),542.31,54.57,9.0,29.061,8.08,3.13.1
2017-01-05,2017.0,1.0,JAN,Avinor (Continental),ANSP (AUA),617.66,19.11,5.1,7.460999999999999,3.99,3.13.1
2017-01-05,2017.0,1.0,JAN,BULATSA,ANSP (AUA),548.51,72.98,4.23,23.454,3.28,3.13.1
2017-01-05,2017.0,1.0,JAN,Croatia Control,ANSP (AUA),365.22,28.34,1.77,15.768,1.67,3.13.1
2017-01-05,2017.0,1.0,JAN,DCAC Cyprus,ANSP (AUA),372.61,27.96,3.04,10.44,1.14,3.13.1
2017-01-05,2017.0,1.0,JAN,DFS,ANSP (AUA),2601.74,376.32,93.79,203.33700000000002,55.28,3.13.1
2017-01-05,2017.0,1.0,JAN,DHMI,ANSP (AUA),2932.54,526.59,70.24,130.77,57.83,3.13.1
2017-01-05,2017.0,1.0,JAN,DSNA,ANSP (AUA),4461.81,678.31,100.44,277.767,56.26,3.13.1
2017-01-05,2017.0,1.0,JAN,EANS,ANSP (AUA),156.25,8.02,1.2,2.2769999999999997,0.68,3.13.1
2017-01-05,2017.0,1.0,JAN,ENAIRE,ANSP (AUA),2691.99,303.04,34.97,101.82600000000001,10.12,3.13.1
2017-01-05,2017.0,1.0,JAN,ENAV,ANSP (AUA),1816.34,115.48,33.13,66.447,12.05,3.13.1
2017-01-05,2017.0,1.0,JAN,HCAA,ANSP (AUA),926.78,51.96,4.03,19.512,2.49,3.13.1
2017-01-05,2017.0,1.0,JAN,HungaroControl,ANSP (AUA),511.71,57.19,3.85,25.092,6.11,3.13.1
2017-01-05,2017.0,1.0,JAN,IAA,ANSP (AUA),652.32,35.78,2.63,10.962,2.19,3.13.1
2017-01-05,2017.0,1.0,JAN,LFV,ANSP (AUA),794.18,32.04,5.5,15.624,3.51,3.13.1
2017-01-05,2017.0,1.0,JAN,LGS,ANSP (AUA),163.02,8.04,0.76,3.717,0.75,3.13.1
2017-01-05,2017.0,1.0,JAN,LPS,ANSP (AUA),209.74,26.2,2.58,9.981,2.72,3.13.1
2017-01-05,2017.0,1.0,JAN,LVNL,ANSP (AUA),196.11,34.16,5.97,14.076,3.91,3.13.1
2017-01-05,2017.0,1.0,JAN,M-NAV,ANSP (AUA),38.13,0.91,0.17,0.405,0.02,3.13.1
2017-01-05,2017.0,1.0,JAN,MATS,ANSP (AUA),172.94,4.66,0.26,1.395,0.2,3.13.1
2017-01-05,2017.0,1.0,JAN,MOLDATSA,ANSP (AUA),14.1,0.09,0.02,0.036000000000000004,0.02,3.13.1
2017-01-05,2017.0,1.0,JAN,MUAC,ANSP (AUA),1579.9,276.7,61.54,139.26600000000002,27.24,3.13.1
2017-01-05,2017.0,1.0,JAN,NATS (Continental),ANSP (AUA),2765.07,411.43,146.93,170.19,69.87,3.13.1
2017-01-05,2017.0,1.0,JAN,NAV Portugal (Continental),ANSP (AUA),902.98,81.28,8.63,29.241000000000003,2.13,3.13.1
2017-01-05,2017.0,1.0,JAN,NAVIAIR,ANSP (AUA),395.94,21.54,2.96,11.655,2.28,3.13.1
2017-01-05,2017.0,1.0,JAN,Oro Navigacija,ANSP (AUA),125.83,5.38,0.82,2.232,0.52,3.13.1
2017-01-05,2017.0,1.0,JAN,PANSA,ANSP (AUA),949.08,57.54,10.47,31.058999999999997,8.14,3.13.1
2017-01-05,2017.0,1.0,JAN,ROMATSA,ANSP (AUA),760.02,80.27,4.5,28.791,6.86,3.13.1
2017-01-05,2017.0,1.0,JAN,SMATSA,ANSP (AUA),443.4,43.8,2.58,20.592,2.47,3.13.1
2017-01-05,2017.0,1.0,JAN,Sakaeronavigatsia,ANSP (AUA),123.22,11.72,0.52,3.654,0.56,3.13.1
2017-01-05,2017.0,1.0,JAN,Skyguide,ANSP (AUA),563.63,77.58,22.83,42.579,14.41,3.13.1
2017-01-05,2017.0,1.0,JAN,Slovenia Control,ANSP (AUA),97.02,9.33,1.03,5.355,0.81,3.13.1
