FLT_DATE,YEAR,MONTH_NUM,MONTH_MON,ENTITY_NAME,ENTITY_TYPE,CPLX_FLIGHT_HRS,CPLX_INTER,VERTICAL_INTER_HRS,HORIZ_INTER_HRS,SPEED_INTER_HRS,BADA_VERSION
2017-01-03,2017.0,1.0,JAN,Austro Control,ANSP (AUA),511.56,51.63,8.62,30.91,6.3,3.13.1
2017-01-03,2017.0,1.0,JAN,Avinor (Continental),ANSP (AUA),625.1,21.73,5.34,10.02,3.7350000000000003,3.13.1
2017-01-03,2017.0,1.0,JAN,BULATSA,ANSP (AUA),541.62,71.23,4.35,25.36,3.177,3.13.1
2017-01-03,2017.0,1.0,JAN,Croatia Control,ANSP (AUA),337.3,23.89,1.4,15.19,1.296,3.13.1
2017-01-03,2017.0,1.0,JAN,DCAC Cyprus,ANSP (AUA),335.57,22.35,2.38,7.84,0.648,3.13.1
2017-01-03,2017.0,1.0,JAN,DFS,ANSP (AUA),2489.96,347.17,80.72,208.08,45.818999999999996,3.13.1
2017-01-03,2017.0,1.0,JAN,DHMI,ANSP (AUA),2792.02,540.83,62.07,129.29,46.476,3.13.1
2017-01-03,2017.0,1.0,JAN,DSNA,ANSP (AUA),4665.58,778.09,114.01,354.08,65.898,3.13.1
2017-01-03,2017.0,1.0,JAN,EANS,ANSP (AUA),150.13,6.8,1.0,2.58,0.531,3.13.1
2017-01-03,2017.0,1.0,JAN,ENAIRE,ANSP (AUA),2782.62,313.74,34.77,119.0,10.683,3.13.1
2017-01-03,2017.0,1.0,JAN,ENAV,ANSP (AUA),1829.32,117.96,35.26,74.74,11.979000000000001,3.13.1
2017-01-03,2017.0,1.0,JAN,HCAA,ANSP (AUA),783.77,33.79,3.17,14.35,2.232,3.13.1
2017-01-03,2017.0,1.0,JAN,HungaroControl,ANSP (AUA),500.18,55.87,3.34,26.81,5.166,3.13.1
2017-01-03,2017.0,1.0,JAN,IAA,ANSP (AUA),570.28,35.8,2.2,10.69,1.6740000000000002,3.13.1
2017-01-03,2017.0,1.0,JAN,LFV,ANSP (AUA),819.98,33.93,6.09,18.17,3.9240000000000004,3.13.1
2017-01-03,2017.0,1.0,JAN,LGS,ANSP (AUA),169.47,7.59,0.74,4.17,0.7110000000000001,3.13.1
2017-01-03,2017.0,1.0,JAN,LPS,ANSP (AUA),217.75,27.65,3.1,13.43,2.7,3.13.1
2017-01-03,2017.0,1.0,JAN,LVNL,ANSP (AUA),186.09,29.75,5.15,12.53,3.411,3.13.1
2017-01-03,2017.0,1.0,JAN,M-NAV,ANSP (AUA),46.82,1.45,0.37,0.76,0.099,3.13.1
2017-01-03,2017.0,1.0,JAN,MATS,ANSP (AUA),169.0,3.52,0.2,1.52,0.07200000000000001,3.13.1
2017-01-03,2017.0,1.0,JAN,MOLDATSA,ANSP (AUA),15.57,0.13,0.02,0.06,0.018000000000000002,3.13.1
2017-01-03,2017.0,1.0,JAN,MUAC,ANSP (AUA),1545.85,269.21,61.4,153.67,23.886,3.13.1
2017-01-03,2017.0,1.0,JAN,NATS (Continental),ANSP (AUA),2796.91,465.86,166.15,206.29,63.108000000000004,3.13.1
2017-01-03,2017.0,1.0,JAN,NAV Portugal (Continental),ANSP (AUA),1024.65,96.39,9.79,38.1,1.4849999999999999,3.13.1
2017-01-03,2017.0,1.0,JAN,NAVIAIR,ANSP (AUA),412.39,22.86,3.33,13.29,2.1870000000000003,3.13.1
2017-01-03,2017.0,1.0,JAN,Oro Navigacija,ANSP (AUA),111.56,3.73,0.42,1.68,0.396,3.13.1
2017-01-03,2017.0,1.0,JAN,PANSA,ANSP (AUA),920.62,61.04,9.58,35.93,6.795,3.13.1
2017-01-03,2017.0,1.0,JAN,ROMATSA,ANSP (AUA),773.18,81.51,3.65,32.52,6.192,3.13.1
2017-01-03,2017.0,1.0,JAN,SMATSA,ANSP (AUA),430.09,40.01,2.48,22.69,1.818,3.13.1
2017-01-03,2017.0,1.0,JAN,Sakaeronavigatsia,ANSP (AUA),119.5,16.14,0.92,5.16,0.684,3.13.1
2017-01-03,2017.0,1.0,JAN,Skyguide,ANSP (AUA),603.07,92.61,28.76,57.77,15.966,3.13.1
2017-01-03,2017.0,1.0,JAN,Slovenia Control,ANSP (AUA),83.4,7.36,0.56,4.72,0.6930000000000001,3.13.1
2017-01-03,2017.0,1.0,JAN,UkSATSE,ANSP (AUA),294.3,7.32,0.79,2.77,0.49500000000000005,3.13.1
2017-01-03,2017.0,1.0,JAN,skeyes,ANSP (AUA),155.54,17.01,6.06,9.39,4.122,3.13.1
2017-01-04,2017.0,1.0,JAN,ANS CR,ANSP (AUA),539.34,100.08,11.01,48.99,8.595,3.13.1
2017-01-04,2017.0,1.0,JAN,ANS Finland,ANSP (AUA),212.46,5.41,1.17,2.12,0.7110000000000001,3.13.1
2017-01-04,2017.0,1.0,JAN,ARMATS,ANSP (AUA),24.61,0.53,0.08,0.2,0.009000000000000001,3.13.1
2017-01-04,2017.0,1.0,JAN,Albcontrol,ANSP (AUA),60.76,2.73,0.14,1.24,0.07200000000000001,3.13.1
2017-01-04,2017.0,1.0,JAN,Austro Control,ANSP (AUA),525.89,52.89,8.38,32.39,6.516,3.13.1
2017-01-04,2017.0,1.0,JAN,Avinor (Continental),ANSP (AUA),615.66,18.62,4.39,7.92,3.591,3.13.1
2017-01-04,2017.0,1.0,JAN,BULATSA,ANSP (AUA),537.66,64.76,4.11,23.04,2.529,3.13.1
2017-01-04,2017.0,1.0,JAN,Croatia Control,ANSP (AUA),362.05,29.09,1.58,19.05,1.7369999999999999,3.13.1
2017-01-04,2017.0,1.0,JAN,DCAC Cyprus,ANSP (AUA),342.76,19.38,2.59,8.68,0.936,3.13.1
2017-01-04,2017.0,1.0,JAN,DFS,ANSP (AUA),2515.4,356.99,81.12,215.25,41.832,3.13.1
2017-01-04,2017.0,1.0,JAN,DHMI,ANSP (AUA),2835.26,459.69,62.77,126.95,26.001,3.13.1
2017-01-04,2017.0,1.0,JAN,DSNA,ANSP (AUA),4429.06,665.11,96.93,300.8,50.823,3.13.1
2017-01-04,2017.0,1.0,JAN,EANS,ANSP (AUA),151.48,6.62,1.01,2.66,0.5940000000000001,3.13.1
2017-01-04,2017.0,1.0,JAN,ENAIRE,ANSP (AUA),2711.89,311.07,36.04,112.84,12.6,3.13.1
2017-01-04,2017.0,1.0,JAN,ENAV,ANSP (AUA),1822.63,119.19,33.27,76.58,12.015,3.13.1
2017-01-04,2017.0,1.0,JAN,HCAA,ANSP (AUA),807.84,36.83,3.46,16.55,2.196,3.13.1
2017-01-04,2017.0,1.0,JAN,HungaroControl,ANSP (AUA),524.76,61.78,4.29,30.97,5.589,3.13.1
2017-01-04,2017.0,1.0,JAN,IAA,ANSP (AUA),562.85,31.21,2.51,9.08,1.746,3.13.1
2017-01-04,2017.0,1.0,JAN,LFV,ANSP (AUA),808.17,32.07,6.0,18.22,4.113,3.13.1
2017-01-04,2017.0,1.0,JAN,LGS,ANSP (AUA),159.59,7.48,0.83,3.79,0.6030000000000001,3.13.1
2017-01-04,2017.0,1.0,JAN,LPS,ANSP (AUA),211.6,31.43,3.05,14.3,2.952,3.13.1
2017-01-04,2017.0,1.0,JAN,LVNL,ANSP (AUA),193.91,30.71,5.2,13.24,3.546,3.13.1
2017-01-04,2017.0,1.0,JAN,M-NAV,ANSP (AUA),39.61,1.47,0.23,0.63,0.036000000000000004,3.13.1
2017-01-04,2017.0,1.0,JAN,MATS,ANSP (AUA),162.62,4.43,0.3,1.4,0.378,3.13.1
2017-01-04,2017.0,1.0,JAN,MOLDATSA,ANSP (AUA),15.1,0.11,0.05,0.07,0.018000000000000002,3.13.1
2017-01-04,2017.0,1.0,JAN,MUAC,ANSP (AUA),1531.15,260.37,60.06,142.79,22.896,3.13.1
2017-01-04,2017.0,1.0,JAN,NATS (Continental),ANSP (AUA),2699.34,477.28,186.82,223.72,64.75500000000001,3.13.1
2017-01-04,2017.0,1.0,JAN,NAV Portugal (Continental),ANSP (AUA),918.15,90.21,8.79,30.8,1.611,3.13.1
2017-01-04,2017.0,1.0,JAN,NAVIAIR,ANSP (AUA),393.51,19.81,2.94,11.11,2.007,3.13.1
2017-01-04,2017.0,1.0,JAN,Oro Navigacija,ANSP (AUA),106.11,4.79,0.33,2.17,0.459,3.13.1
2017-01-04,2017.0,1.0,JAN,PANSA,ANSP (AUA),917.96,57.46,8.72,33.01,7.308,3.13.1
2017-01-04,2017.0,1.0,JAN,ROMATSA,ANSP (AUA),777.8,80.26,5.01,33.0,6.597,3.13.1
2017-01-04,2017.0,1.0,JAN,SMATSA,ANSP (AUA),445.45,40.04,2.64,21.96,1.512,3.13.1
2017-01-04,2017.0,1.0,JAN,Sakaeronavigatsia,ANSP (AUA),111.72,12.04,0.7,4.48,0.396,3.13.1
2017-01-04,2017.0,1.0,JAN,Skyguide,ANSP (AUA),573.4,83.62,23.97,52.3,12.321,3.13.1
2017-01-04,2017.0,1.0,JAN,Slovenia Control,ANSP (AUA),89.97,9.03,1.04,5.98,0.558,3.13.1
2017-01-04,2017.0,1.0,JAN,UkSATSE,ANSP (AUA),280.09,6.69,0.9,2.73,0.459,3.13.1
2017-01-04,2017.0,1.0,JAN,skeyes,ANSP (AUA),166.91,19.34,7.41,11.02,5.112,3.13.1
2017-01-05,2017.0,1.0,JAN,ANS CR,ANSP (AUA),554.1,96.63,11.97,49.08,8.442,3.13.1
2017-01-05,2017.0,1.0,JAN,ANS Finland,ANSP (AUA),198.07,5.7,1.09,2.15,0.7290000000000001,3.13.1
2017-01-05,2017.0,1.0,JAN,ARMATS,ANSP (AUA),27.76,0.61,0.07,0.15,0.045000000000000005,3.13.1
2017-01-05,2017.0,1.0,JAN,Albcontrol,ANSP (AUA),67.63,4.17,0.09,1.8,0.036000000000000004,3.13.1
2017-01-05,2017.0,1.0,JAN,Austro Control,ANSP (AUA),542.31,54.57,9.0,32.29,7.272,3.13.1
2017-01-05,2017.0,1.0,JAN,Avinor (Continental),ANSP (AUA),617.66,19.11,5.1,8.29,3.591,3.13.1
2017-01-05,2017.0,1.0,JAN,BULATSA,ANSP (AUA),548.51,72.98,4.23,26.06,2.952,3.13.1
2017-01-05,2017.0,1.0,JAN,Croatia Control,ANSP (AUA),365.22,28.34,1.77,17.52,1.503,3.13.1
2017-01-05,2017.0,1.0,JAN,DCAC Cyprus,ANSP (AUA),372.61,27.96,3.04,11.6,1.026,3.13.1
2017-01-05,2017.0,1.0,JAN,DFS,ANSP (AUA),2601.74,376.32,93.79,225.93,49.752,3.13.1
2017-01-05,2017.0,1.0,JAN,DHMI,ANSP (AUA),2932.54,526.59,70.24,145.3,52.047,3.13.1
2017-01-05,2017.0,1.0,JAN,DSNA,ANSP (AUA),4461.81,678.31,100.44,308.63,50.634,3.13.1
2017-01-05,2017.0,1.0,JAN,EANS,ANSP (AUA),156.25,8.02,1.2,2.53,0.6120000000000001,3.13.1
2017-01-05,2017.0,1.0,JAN,ENAIRE,ANSP (AUA),2691.99,303.04,34.97,113.14,9.107999999999999,3.13.1
2017-01-05,2017.0,1.0,JAN,ENAV,ANSP (AUA),1816.34,115.48,33.13,73.83,10.845,3.13.1
2017-01-05,2017.0,1.0,JAN,HCAA,ANSP (AUA),926.78,51.96,4.03,21.68,2.241,3.13.1
2017-01-05,2017.0,1.0,JAN,HungaroControl,ANSP (AUA),511.71,57.19,3.85,27.88,5.4990000000000006,3.13.1
2017-01-05,2017.0,1.0,JAN,IAA,ANSP (AUA),652.32,35.78,2.63,12.18,1.971,3.13.1
2017-01-05,2017.0,1.0,JAN,LFV,ANSP (AUA),794.18,32.04,5.5,17.36,3.159,3.13.1
2017-01-05,2017.0,1.0,JAN,LGS,ANSP (AUA),163.02,8.04,0.76,4.13,0.675,3.13.1
2017-01-05,2017.0,1.0,JAN,LPS,ANSP (AUA),209.74,26.2,2.58,11.09,2.4480000000000004,3.13.1
2017-01-05,2017.0,1.0,JAN,LVNL,ANSP (AUA),196.11,34.16,5.97,15.64,3.519,3.13.1
2017-01-05,2017.0,1.0,JAN,M-NAV,ANSP (AUA),38.13,0.91,0.17,0.45,0.018000000000000002,3.13.1
2017-01-05,2017.0,1.0,JAN,MATS,ANSP (AUA),172.94,4.66,0.26,1.55,0.18000000000000002,3.13.1
2017-01-05,2017.0,1.0,JAN,MOLDATSA,ANSP (AUA),14.1,0.09,0.02,0.04,0.018000000000000002,3.13.1
2017-01-05,2017.0,1.0,JAN,MUAC,ANSP (AUA),1579.9,276.7,61.54,154.74,24.516,3.13.1
2017-01-05,2017.0,1.0,JAN,NATS (Continental),ANSP (AUA),2765.07,411.43,146.93,189.1,62.883,3.13.1
2017-01-05,2017.0,1.0,JAN,NAV Portugal (Continental),ANSP (AUA),902.98,81.28,8.63,32.49,1.917,3.13.1
2017-01-05,2017.0,1.0,JAN,NAVIAIR,ANSP (AUA),395.94,21.54,2.96,12.95,2.052,3.13.1
2017-01-05,2017.0,1.0,JAN,Oro Navigacija,ANSP (AUA),125.83,5.38,0.82,2.48,0.468,3.13.1
2017-01-05,2017.0,1.0,JAN,PANSA,ANSP (AUA),949.08,57.54,10.47,34.51,7.3260000000000005,3.13.1
2017-01-05,2017.0,1.0,JAN,ROMATSA,ANSP (AUA),760.02,80.27,4.5,31.99,6.174,3.13.1
2017-01-05,2017.0,1.0,JAN,SMATSA,ANSP (AUA),443.4,43.8,2.58,22.88,2.2230000000000003,3.13.1
2017-01-05,2017.0,1.0,JAN,Sakaeronavigatsia,ANSP (AUA),123.22,11.72,0.52,4.06,0.5040000000000001,3.13.1
2017-01-05,2017.0,1.0,JAN,Skyguide,ANSP (AUA),563.63,77.58,22.83,47.31,12.969000000000001,3.13.1
2017-01-05,2017.0,1.0,JAN,Slovenia Control,ANSP (AUA),97.02,9.33,1.03,5.95,0.7290000000000001,3.13.1
2017-01-05,2017.0,1.0,JAN,UkSATSE,ANSP (AUA),282.68,7.84,0.97,2.61,0.396,3.13.1
2017-01-05,2017.0,1.0,JAN,skeyes,ANSP (AUA),166.2,19.22,7.23,11.21,4.617,3.13.1
2017-01-06,2017.0,1.0,JAN,ANS CR,ANSP (AUA),538.22,89.25,11.34,44.68,7.668,3.13.1
2017-01-06,2017.0,1.0,JAN,ANS Finland,ANSP (AUA),182.51,4.14,1.01,1.52,0.8370000000000001,3.13.1
2017-01-06,2017.0,1.0,JAN,ARMATS,ANSP (AUA),28.77,0.72,0.09,0.19,0.036000000000000004,3.13.1
2017-01-06,2017.0,1.0,JAN,Albcontrol,ANSP (AUA),58.59,3.02,0.11,1.07,0.045000000000000005,3.13.1
2017-01-06,2017.0,1.0,JAN,Austro Control,ANSP (AUA),514.51,49.11,9.39,29.77,6.291,3.13.1
2017-01-06,2017.0,1.0,JAN,Avinor (Continental),ANSP (AUA),593.78,19.43,5.08,9.1,3.213,3.13.1
2017-01-06,2017.0,1.0,JAN,BULATSA,ANSP (AUA),518.16,64.08,3.99,23.12,3.3480000000000003,3.13.1
2017-01-06,2017.0,1.0,JAN,Croatia Control,ANSP (AUA),340.56,23.45,1.7,14.31,1.098,3.13.1
2017-01-06,2017.0,1.0,JAN,DCAC Cyprus,ANSP (AUA),301.97,21.41,2.37,9.21,0.8190000000000001,3.13.1
2017-01-06,2017.0,1.0,JAN,DFS,ANSP (AUA),2563.28,362.22,94.25,219.24,48.00600000000001,3.13.1
2017-01-06,2017.0,1.0,JAN,DHMI,ANSP (AUA),2861.5,594.01,59.11,139.85,33.615,3.13.1
2017-01-06,2017.0,1.0,JAN,DSNA,ANSP (AUA),4728.77,756.42,108.09,343.67,48.447,3.13.1
2017-01-06,2017.0,1.0,JAN,EANS,ANSP (AUA),156.33,7.7,1.02,2.57,0.6930000000000001,3.13.1
2017-01-06,2017.0,1.0,JAN,ENAIRE,ANSP (AUA),2857.12,320.69,34.93,116.45,8.712,3.13.1
2017-01-06,2017.0,1.0,JAN,ENAV,ANSP (AUA),1852.89,124.18,34.64,78.8,11.493,3.13.1
2017-01-06,2017.0,1.0,JAN,HCAA,ANSP (AUA),805.32,32.95,3.24,14.21,2.196,3.13.1
2017-01-06,2017.0,1.0,JAN,HungaroControl,ANSP (AUA),476.67,48.44,3.9,24.55,4.5360000000000005,3.13.1
2017-01-06,2017.0,1.0,JAN,IAA,ANSP (AUA),686.84,46.51,3.26,13.3,2.106,3.13.1
2017-01-06,2017.0,1.0,JAN,LFV,ANSP (AUA),769.01,29.76,5.48,15.96,2.673,3.13.1
2017-01-06,2017.0,1.0,JAN,LGS,ANSP (AUA),169.32,8.1,1.04,3.92,0.864,3.13.1
2017-01-06,2017.0,1.0,JAN,LPS,ANSP (AUA),202.21,24.97,2.57,11.2,2.3129999999999997,3.13.1
2017-01-06,2017.0,1.0,JAN,LVNL,ANSP (AUA),191.95,30.81,5.13,12.84,3.5370000000000004,3.13.1
2017-01-06,2017.0,1.0,JAN,M-NAV,ANSP (AUA),29.64,0.62,0.13,0.32,0.027,3.13.1
