YEAR;MONTH_NUM;MONTH_MON;FLT_DATE;ENTITY_NAME;ENTITY_TYPE;CPLX_FLIGHT_HRS;CPLX_INTER;VERTICAL_INTER_HRS;HORIZ_INTER_HRS;SPEED_INTER_HRS;BADA_VERSION
2017;1;JAN;04-01-2017;ENAIRE;ANSP (AUA);2711.89;311.07;36.04;112.84;14.00;3.13.1
2017;1;JAN;04-01-2017;ENAV;ANSP (AUA);1822.63;119.19;33.27;76.58;13.35;3.13.1
2017;1;JAN;04-01-2017;HCAA;ANSP (AUA);807.84;36.83;3.46;16.55;2.44;3.13.1
2017;1;JAN;04-01-2017;HungaroControl;ANSP (AUA);524.76;61.78;4.29;30.97;6.21;3.13.1
2017;1;JAN;04-01-2017;IAA;ANSP (AUA);562.85;31.21;2.51;9.08;1.94;3.13.1
2017;1;JAN;04-01-2017;LFV;ANSP (AUA);808.17;32.07;6.00;18.22;4.57;3.13.1
2017;1;JAN;04-01-2017;LGS;ANSP (AUA);159.59;7.48;0.83;3.79;0.67;3.13.1
2017;1;JAN;04-01-2017;LPS;ANSP (AUA);211.60;31.43;3.05;14.30;3.28;3.13.1
2017;1;JAN;04-01-2017;LVNL;ANSP (AUA);193.91;30.71;5.20;13.24;3.94;3.13.1
2017;1;JAN;04-01-2017;M-NAV;ANSP (AUA);39.61;1.47;0.23;0.63;0.04;3.13.1
2017;1;JAN;04-01-2017;MATS;ANSP (AUA);162.62;4.43;0.30;1.40;0.42;3.13.1
2017;1;JAN;04-01-2017;MOLDATSA;ANSP (AUA);15.10;0.11;0.05;0.07;0.02;3.13.1
2017;1;JAN;04-01-2017;MUAC;ANSP (AUA);1531.15;260.37;60.06;142.79;25.44;3.13.1
2017;1;JAN;04-01-2017;NATS (Continental);ANSP (AUA);2699.34;477.28;186.82;223.72;71.95;3.13.1
2017;1;JAN;04-01-2017;NAV Portugal (Continental);ANSP (AUA);918.15;90.21;8.79;30.80;1.79;3.13.1
2017;1;JAN;04-01-2017;NAVIAIR;ANSP (AUA);393.51;19.81;2.94;11.11;2.23;3.13.1
2017;1;JAN;04-01-2017;Oro Navigacija;ANSP (AUA);106.11;4.79;0.33;2.17;0.51;3.13.1
2017;1;JAN;04-01-2017;PANSA;ANSP (AUA);917.96;57.46;8.72;33.01;8.12;3.13.1
2017;1;JAN;04-01-2017;ROMATSA;ANSP (AUA);777.80;80.26;5.01;33.00;7.33;3.13.1
2017;1;JAN;04-01-2017;SMATSA;ANSP (AUA);445.45;40.04;2.64;21.96;1.68;3.13.1
2017;1;JAN;04-01-2017;Sakaeronavigatsia;ANSP (AUA);111.72;12.04;0.70;4.48;0.44;3.13.1
2017;1;JAN;04-01-2017;Skyguide;ANSP (AUA);573.40;83.62;23.97;52.30;13.69;3.13.1
2017;1;JAN;04-01-2017;Slovenia Control;ANSP (AUA);89.97;9.03;1.04;5.98;0.62;3.13.1
2017;1;JAN;04-01-2017;UkSATSE;ANSP (AUA);280.09;6.69;0.90;2.73;0.51;3.13.1
2017;1;JAN;04-01-2017;skeyes;ANSP (AUA);166.91;19.34;7.41;11.02;5.68;3.13.1
2017;1;JAN;05-01-2017;ANS CR;ANSP (AUA);554.10;96.63;11.97;49.08;9.38;3.13.1
2017;1;JAN;05-01-2017;ANS Finland;ANSP (AUA);198.07;5.70;1.09;2.15;0.81;3.13.1
2017;1;JAN;05-01-2017;ARMATS;ANSP (AUA);27.76;0.61;0.07;0.15;0.05;3.13.1
2017;1;JAN;05-01-2017;Albcontrol;ANSP (AUA);67.63;4.17;0.09;1.80;0.04;3.13.1
2017;1;JAN;05-01-2017;Austro Control;ANSP (AUA);542.31;54.57;9.00;32.29;8.08;3.13.1
2017;1;JAN;05-01-2017;Avinor (Continental);ANSP (AUA);617.66;19.11;5.10;8.29;3.99;3.13.1
2017;1;JAN;05-01-2017;BULATSA;ANSP (AUA);548.51;72.98;4.23;26.06;3.28;3.13.1
2017;1;JAN;05-01-2017;Croatia Control;ANSP (AUA);365.22;28.34;1.77;17.52;1.67;3.13.1
2017;1;JAN;05-01-2017;DCAC Cyprus;ANSP (AUA);372.61;27.96;3.04;11.60;1.14;3.13.1
2017;1;JAN;05-01-2017;DFS;ANSP (AUA);2601.74;376.32;93.79;225.93;55.28;3.13.1
2017;1;JAN;05-01-2017;DHMI;ANSP (AUA);2932.54;526.59;70.24;145.30;57.83;3.13.1
