MONTH_NUM,MONTH_MON,FLT_DATE,ENTITY_NAME,ENTITY_TYPE,CPLX_FLIGHT_HRS,CPLX_INTER,VERTICAL_INTER_HRS,HORIZ_INTER_HRS,SPEED_INTER_HRS,BADA_VERSION
1.0,JAN,06-01-2017,LPS,ANSP (AUA),202.21,24.97,2.3129999999999997,11.2,2.57,3.13.1
1.0,JAN,06-01-2017,LVNL,ANSP (AUA),191.95,30.81,4.617,12.84,3.93,3.13.1
1.0,JAN,06-01-2017,M-NAV,ANSP (AUA),29.64,0.62,0.117,0.32,0.03,3.13.1
1.0,JAN,06-01-2017,MATS,ANSP (AUA),184.2,6.85,0.198,2.71,0.27,3.13.1
1.0,JAN,06-01-2017,MOLDATSA,ANSP (AUA),14.75,0.14,0.009000000000000001,0.06,0.02,3.13.1
1.0,JAN,06-01-2017,MUAC,ANSP (AUA),1626.82,292.38,61.857000000000006,166.81,28.67,3.13.1
1.0,JAN,06-01-2017,NATS (Continental),ANSP (AUA),2793.54,444.27,143.181,203.15,68.78,3.13.1
1.0,JAN,06-01-2017,NAV Portugal (Continental),ANSP (AUA),1025.54,93.81,9.612,32.9,2.05,3.13.1
1.0,JAN,06-01-2017,NAVIAIR,ANSP (AUA),407.84,23.78,3.42,14.04,2.2,3.13.1
1.0,JAN,06-01-2017,Oro Navigacija,ANSP (AUA),118.55,4.19,0.47700000000000004,2.0,0.63,3.13.1
1.0,JAN,06-01-2017,PANSA,ANSP (AUA),911.2,56.0,8.172,32.21,5.89,3.13.1
1.0,JAN,06-01-2017,ROMATSA,ANSP (AUA),748.69,72.88,4.23,30.84,7.07,3.13.1
1.0,JAN,06-01-2017,SMATSA,ANSP (AUA),415.48,35.68,1.9980000000000002,19.32,1.68,3.13.1
1.0,JAN,06-01-2017,Sakaeronavigatsia,ANSP (AUA),128.84,14.64,0.657,4.75,0.91,3.13.1
1.0,JAN,06-01-2017,Skyguide,ANSP (AUA),624.28,98.41,26.685,63.03,16.18,3.13.1
1.0,JAN,06-01-2017,Slovenia Control,ANSP (AUA),96.93,9.11,0.9720000000000001,5.81,0.92,3.13.1
1.0,JAN,06-01-2017,UkSATSE,ANSP (AUA),284.26,7.1,0.648,2.24,0.39,3.13.1
1.0,JAN,06-01-2017,skeyes,ANSP (AUA),157.95,17.11,5.337,9.42,4.3,3.13.1
1.0,JAN,07-01-2017,ANS CR,ANSP (AUA),491.64,72.64,7.5600000000000005,40.14,7.28,3.13.1
1.0,JAN,07-01-2017,ANS Finland,ANSP (AUA),151.99,2.98,0.5040000000000001,1.06,0.32,3.13.1
1.0,JAN,07-01-2017,ARMATS,ANSP (AUA),32.02,0.86,0.09000000000000001,0.29,0.07,3.13.1
